src_category,generic_category,src_vendor,comments,generic categories,examples
Sound Bar,Media/TV,['vizio'],,,
Soundbar,Media/TV,['vizio' 'bose' 'google' 'lg' 'yamaha' 'samsung'],,,
Speaker,Media/TV,"['sonos' 'bose' 'denon' 'synology' 'google' 'olufsen' 'samsung' 'vizio'
 'invoxia' 'libratone' 'bang & olufsen' 'jbl' 'philips' 'spotify' 'lg'
 'raumfeld' 'bowers & wilkins' 'awox' 'sony' 'xiaomi' 'yamaha']",Speaker of Google -> voice assistant,,
Spotify Connect,Media/TV,"['sonos' 'amazon' 'onkyo' 'roku' 'spotify' 'bang & olufsen' 'yamaha'
 'volumio' 'sony' 'fon' 'control4' 'nvidia' 'withings' 'facebook' 'denon'
 'freebox' 'samsung' 'invoxia' 'cloud' 'bose']",Facebook smart dsplay?,,
Spotify Connect & Google Cast,Media/TV,['nvidia'],,,
Spotify Connect and Bose SoundTouch,Media/TV,['bose'],,,
Spotify Connect and Google Cast,Media/TV,['spotify'],,,
Spotify Connect and HomeKit,Home Automation,['ecobee'],,,
Spotify Connect and Roku,Media/TV,['roku'],,,
Spotify Connect and Yamaha,Media/TV,['yamaha'],,,
"Spotify Connect, DLNA DMR",Media/TV,['samsung' 'bose'],,,
"Spotify Connect, Google Cast",Media/TV,['spotify'],,,
"Spotify Connect, Roku",Media/TV,['roku'],,,
"Spotify Connect, Samsung TV",Media/TV,['samsung'],,,
Sprinkler Controller,Generic IoT,['rachio' 'rach'],discard rach,,
Stereo,Media/TV,['marantz'],,,
Storage Device,Storage,['western digital'],,,
Streamer,Media/TV,['apple' 'sonos' 'roku'],,,
Streaming Box,Media/TV,['apple'],,,
Streaming Device,Media/TV,"['microsoft' 'belkin' 'sonos' 'lg' 'roku' 'samsung' 'amazon' 'tivo'
 'nvidia' 'google' 'directv' 'onkyo' 'bose' 'sony' 'asus' 'apple' 'yamaha'
 'freebox' 'first alert' 'echostar' 'xiaomi' 'loewe' 'technisat' 'dish'
 'marantz' 'libratone' 'panasonic' 'philips' 'raspberry-pi' 'netgear'
 'olufsen' 'denon' 'baidu']",change netgear to Router,,
Streaming Media Player,Media/TV,"['amazon' 'nvidia' 'roku' 'google' 'apple' 'spotify' 'xiaomi' 'tivo'
 'samsung' 'silicondust']",,,
Streaming Music Player,Media/TV,['yamaha'],,,
Streaming Stick,Media/TV,['google' 'amazon' 'roku'],,,
Streaming TV,Media/TV,['apple' 'lg'],,,
Switch,Home Automation,['shelly' 'idevice' 'belkin'],,,
TV,Media/TV,['samsung' 'apple' 'vizio' 'lg' 'roku'],,,
TV Adapter,Media/TV,['roku'],,,
TV Box,Media/TV,['apple' 'xiaomi'],,,
TV Hub,Media/TV,['google'],,,
TV Receiver,Media/TV,['dish'],,,
TV Remote,Media/TV,['samsung'],,,
TV Settop Box,Media/TV,['echostar'],,,
TV Stick,Media/TV,['dish'],,,
TV Streaming Device,Media/TV,['silicondust'],,,
TV Tuner,Media/TV,['silicondust' 'dish' 'roku' 'tivo'],,,
TV Tuner and DVR,Media/TV,['tivo'],,,
TV streaming device,Media/TV,['apple'],,,
Tablet,Mobile Device ,['apple' 'microsoft' 'google' 'amazon' 'lenovo' 'samsung'],,,
Tablet and Laptop,Mobile Device ,['apple'],,,
Television,Media/TV,"['lg' 'samsung' 'sony' 'google' 'philips' 'roku' 'vizio' 'tcl' 'toshiba'
 'apple' 'volumio' 'xiaomi' 'spotify' 'sharp' 'panasonic' 'pioneer'
 'hisense' 'loewe']",,,
Television Remote Control,Media/TV,['sony'],,,
Television Set-Top Box,Media/TV,['google' 'apple'],,,
Thermometer,Generic IoT,['ihome'],,,
Thermostat,Home Automation,"['ecobee' 'nest' 'honeywell' 'google' 'oj' 'sensi' 'carrier' 'vorwerk'
 'tado' 'mysa' 'lennox' 'netatmo' 'heatmiser']",,,
Thermostat Bridge,Home Automation,['netatmo'],,,
TiVo DVR,Media/TV,['tivo'],,,
Tivo DVR,Media/TV,['tivo'],,,
Touch Controller,Home Automation,['wink'],,,
Universal Remote,Home Automation,['logitech'],,,
Universal Remote Control,Home Automation,['logitech'],,,
Universal Remote Hub,Home Automation,['logitech'],,,
Vacuum Cleaner,Home Automation,['xiaomi'],,,
Vehicle,Vehicle,['tesla'],,,
Video Conferencing Camera,Voice Assistant,['facebook'],,,
Video Doorbell,Surveillance,['hikvision' 'tivo'],,,
Video Game Console,Game Console,['sony' 'microsoft' 'apple'],,,
Virtual Host,Computer,['microsoft'],,,
Virtual Machine,Computer,['microsoft'],,,
VoIP Adapter,Work Appliance,['cisco' 'grandstream'],,,
VoIP Phone,Work Appliance,['polycom' 'cisco' 'ooma'],,,
VoIP Stick,Media/TV,['roku'],,,
Voice Assistant,Media/TV,['amazon' 'google' 'sony' 'logi'],Fix amazon and google,,
Voice Assistant Hub,Voice Assistant,['amazon'],,,
Voice Assistant Speaker,Media/TV,['amazon' 'google' 'lg' 'sonos'],Fix amazon and google,,
Volumio,Media/TV,['volumio'],,,
"Volumio, Spotify Connect",Media/TV,['volumio'],,,
WLAN Repeater,Router,['avm'],,,
WLANAccessPointDevice,Router,['devolo' 'netgear' 'apple'],,,
Washer,Home Appliance ,['samsung'],,,
WeMo Insight,Home Automation,['belkin'],,,
WeMo Link,Home Automation,['belkin'],,,
WeMo Motion,Home Automation,['belkin'],,,
WeMo Outlet Switch,Home Automation,['belkin'],,,
WeMo Soffit Light Switch,Home Automation,['belkin'],,,
WeMo Switch,Home Automation,['belkin'],,,
Wearable Device,Wearable,['amazon' 'apple'],,,
Weather Station,Home Automation,['netatmo'],,,
Webcam,Surveillance,['dlink' 'dropcam' 'hikvision'],,,
Wemo Light,Home Automation,['belkin'],,,
Wemo Mini,Home Automation,['belkin'],,,
Wi-Fi Access Point,Router,['tplink'],,,
Wi-Fi Amplifier,Media/TV,['yamaha'],,,
Wi-Fi Extender,Router,['netgear' 'apple' 'belkin'],,,
Wi-Fi Range Extender,Router,['avm'],,,
Wi-Fi Repeater,Router,['google' 'avm'],,,
Wi-Fi Speaker,Media/TV,['luxshare'],,,
WiFi Access Point,Router,['google' 'netgear'],,,
WiFi Extender,Router,['netgear'],,,
WiFi Repeater,Router,['avm' 'google'],,,
WiFi Router,Router,['netgear' 'devolo'],,,
WiFi Speaker,Media/TV,['pioneer'],,,
Window Sensor,Home Automation,['velux'],,,
Wink,Home Automation,['apple' 'wink'],,,
Wireless Access Point,Router,['dlink' 'netgear' 'ubiquiti' 'tplink' 'devolo'],,,
Wireless Range Extender,Router,['avm'],,,
Wireless Repeater,Router,['avm'],,,
Wireless Router,Router,['apple' 'netgear'],,,
Wireless Speaker,Media/TV,['samsung' 'denon' 'sony'],,,
Xiaomi_gw,Home Automation,['xiaomi' 'aqara'],,,
Yeelight,Home Automation,['yeelight'],,,
YeelightColorBulb,Home Automation,['yeelight'],,,
YeelightLightStrip,Home Automation,['yeelight'],,,
Z-Wave,Home Automation,['homeseer'],,,
Zigbee Gateway,Home Automation,['xiaomi'],,,
Zigbee Hub,Home Automation,['xiaomi'],,,
apple_tv,Media/TV,['apple'],,,
dlna_dmr,Media/TV,['bose'],,,
ecobee4,Home Automation,['ecobee'],,,
google_cast,Media/TV,['google'],,,
"google_cast, plex_mediaserver",Media/TV,['nvidia'],,,
"google_cast, spotify_connect",Media/TV,['sony'],,,
home_assistant,Home Automation,['home'],,,
homekit,Home Automation,['ecobee' 'lifx' 'apple' 'velux' 'mystrom' 'netatmo'],,,
hp_printer,Work Appliance,['hp' 'avm'],,,
iPhone,Mobile Device ,['apple'],,,
igd,Home Automation,['samsung'],,,
nanoleaf_aurora,Home Automation,['nanoleaf'],,,
netgear_router,Router,['netgear'],,,
plex_mediaserver,Media/TV,['plex'],,,
spotify_connect,Voice Assistant,['amazon'],,,
tivo_dvr,Media/TV,['tivo'],,,
webOS TV,Media/TV,['lg'],,,
webos_tv,Media/TV,['lg'],,,
xiaomi_gw,Home Automation,['xiaomi'],,,
ziggo_mediabox_xl,Media/TV,['samsung'],,,
Coffee Maker,Home Appliance ,['google' 'apple'],,,
WiFi Mesh Router,Router,['google' 'netgear'],,,
Smoke Alarm,Home Automation,['google' 'nest'],,,
Wi-Fi Mesh Router,Router,['google'],,,
Telephone Box,Work Appliance,['google'],,,
Smartwatch,Wearable,['apple' 'samsung' 'xiaomi'],,,
Smart Watch,Wearable,['apple'],,,
Cellphone,Mobile Device ,['apple' 'samsung' 'lg' 'huawei' 'motorola'],,,
Logitech MediaServer,Media/TV,['apple'],,,
Car Entertainment System,Other,['apple'],,,
Motor Controller,Home Automation,['apple'],,,
Vehicle Tracker,Generic IoT,['apple'],,,
MP3 Player,Media/TV,['apple'],,,
Home Entertainment System,Media/TV,['apple'],,,
KA is an IoT Sensor,Other,['apple'],,,
Wearable,Wearable,['apple'],,,
iPod Touch,Mobile Device ,['apple'],,,
TV Set-Top Box,Media/TV,['apple'],,,
iOS Device,Mobile Device ,['apple'],,,
HVAC Controller,Home Automation,['honeywell'],,,
Range Extender,Router,['tplink' 'ubiquiti'],,,
Powerline Extender,Router,['tplink'],,,
WiFi Switch,Router,['tplink' 'netgear'],,,
Repeater,Router,['tplink'],,,
Mesh Network Router,Router,['tplink' 'plume'],,,
Network Controller,Router,['tplink' 'ubiquiti'],,,
Smart Lightbulb,Home Automation,['tplink'],,,
Smart Light Dimmer,Home Automation,['tplink'],,,
Mobile Handset,Mobile Device ,['samsung'],,,
Network Extender,Router,['samsung'],,,
Smart Device,Home Appliance ,['samsung'],,,
IP Phone,Work Appliance,['samsung'],,,
Mobile,Mobile Device ,['samsung'],,,
Cellular IoT Device,Mobile Device ,['samsung'],,,
Washing Machine,Home Appliance ,['samsung' 'lg'],,,
Appliance,Home Appliance ,['samsung' 'lg'],,,
Dryer,Home Appliance ,['samsung' 'lg'],,,
WiFi Mesh Satellite,Router,['netgear'],,,
Clothes Dryer,Home Appliance ,['lg'],,,
Microwave,Home Appliance ,['lg'],,,
OLED Display,Media/TV,['lg'],,,
Satellite Receiver DVR,Media/TV,['dish'],,,
CPX-VXYQCTVA7SO is a ConnectPort X2 gateway device,Router,['microsoft'],,,
Network Device,Router,['microsoft' 'ubiquiti'],,,
Virtual PC,Computer,['microsoft'],,,
Surface Computer,Computer,['microsoft'],,,
Medical Device,Generic IoT,['microsoft'],,,
Weather Sensor,Home Automation,['netatmo'],,,
Wi-Fi Adapter,Router,['belkin'],,,
Cooker,Home Appliance ,['xiaomi'],,,
Robot Vacuum Cleaner,Home Automation,['xiaomi'],,,
Rice Cooker,Home Appliance ,['xiaomi'],,,
Robotic Vacuum,Home Automation,['xiaomi' 'irobot' 'neato' 'shark'],,,
Alarm Clock,Generic IoT,['xiaomi'],,,
Thermostat Controller,Home Automation,['tado'],,,
Monitor,Other,['hp'],,,
Printer and Scanner,Work Appliance,['hp' 'brother'],,,
CCTV DVR,Media/TV,['tivo'],,,
Video Recorder,Media/TV,['tivo'],,,
Single Board Computer,Computer,['raspberry-pi'],,,
Single-Board Computer (SBC),Computer,['raspberry-pi'],,,
GPS Receiver,Computer,['raspberry-pi'],,,
Raspberry Pi Camera,Computer,['raspberry-pi'],,,
Robot,Computer,['raspberry-pi' 'irobot'],Change irobot to Home automation,,
IoT Sensor Device,Computer,['raspberry-pi'],,,
LoRa Gateway,Computer,['raspberry-pi'],,,
IoT Clock,Computer,['raspberry-pi'],,,
Radio Receiver,Computer,['raspberry-pi'],,,
Projector,Media/TV,['sony'],,,
eReader,Mobile Device ,['amazon'],,,
Speaker or Tablet,Mobile Device ,['amazon'],,,
e-Reader,Mobile Device ,['amazon'],,,
Fire Alarm,Home Automation,['amazon'],,,
Tap Sensor,Home Appliance ,['amazon'],,,
VoIP Adaptor,Work Appliance,['amazon' 'ooma' 'gigaset'],,,
eBook Reader,Mobile Device ,['amazon'],,,
Alexa Dot,Voice Assistant,['amazon'],,,
Smart Dimmer,Home Automation,['leviton'],,,
Smart Doorbell,Surveillance,['chamberlain'],,,
Door Opener,Home Automation,['chamberlain'],,,
Network Interface Device,Router,['arris'],,,
Sensor Node,Computer,['dell'],,,
Computer Server,Computer,['dell'],,,
Desktop,Computer,['dell'],,,
Wi-Fi Router,Router,['buffalo'],,,
Cellular Repeater,Router,['cisco'],,,
Network Hub,Router,['cisco'],,,
Femtocell,Router,['cisco'],,,
ATA (Analog Telephone Adapter),Work Appliance,['cisco'],,,
Bluetooth Dongle,Other,['asus'],,,
Telephone,Work Appliance,['asus' 'gigaset'],,,
Workstation,Computer,['asus'],,,
USB Stick,Computer,['lenovo'],,,
Smart Scale,Generic IoT,['withings'],,,
Vehicle IoT Device,Vehicle,['subaru' 'tesla'],,,
Handheld Console,Game Console,['nintendo'],,,
Wireless Access Point (WAP),Router,['eero'],,,
Router/Access Point,Router,['ubiquiti'],,,
Wireless Extender,Router,['ubiquiti'],,,
WiFi Module,Router,['texas instruments'],,,
Video Doorbell Camera,Surveillance,['texas instruments'],,,
Smart Meter,Home Automation,['sense' 'solaredge' 'discovergy'],,,
VoIP Router,Work Appliance,['ciscolinksys' 'obihai' 'ooma'],,,
Smart Blinds,Home Automation,['shelly'],,,
RGBW LED Controller,Home Automation,['shelly'],,,
Mobile Router,Router,['huawei'],,,
Solar Inverter,Home Automation,['huawei' 'solaredge'],,,
Smoke Alarm and CO Detector,Home Automation,['nest'],,,
Cable Modem/WAP,Router,['technicolor'],,,
Vacuum Robot,Home Automation,['irobot'],,,
Robot Mop,Home Automation,['irobot'],,,
FTP Server,Storage,['qnap'],,,
Energy Monitor,Home Automation,['rainforest' 'solaredge' 'tesla' 'energy' 'legrand' 'sma'],remove energy?,,
VoIP Phone Adaptor,Work Appliance,['obihai'],,,
VoIP Phone Adapter,Work Appliance,['obihai'],,,
Smart Water Valve,Home Automation,['flo' 'orbit'],Replace flo by meon,,
Outdoor Lighting,Home Automation,['ring'],,,
Video Surveillance Device,Surveillance,['ring'],,,
Video Camera Doorbell,Surveillance,['ring'],,,
Smart Sprinkler Controller,Generic IoT,['rach'],,,
Energy Management Device,Home Automation,['solaredge'],,,
Energy Monitoring Device,Home Automation,['solaredge'],,,
Power Inverter,Home Automation,['solaredge'],,,
Camera Device,Surveillance,['petcube'],,,
Camera IoT Device,Surveillance,['petcube'],,,
Networked Thermostat,Home Automation,['bosch'],,,
Mini PC,Computer,['intel'],,,
Tracking Device,Other,['intel'],,,
Smart Lock Bridge,Home Automation,['august' 'nuki'],,,
Smart Faucet,Home Appliance ,['delta' 'orbit'],,,
Security System Controller,Home Automation,['envisacor'],,,
Automobile,Vehicle,['tesla'],,,
VOIP Adapter,Work Appliance,['ooma'],,,
VOIP Gateway,Work Appliance,['ooma'],,,
VOIP Phone,Work Appliance,['ooma'],,,
HDMI Switch,Other,['caavo'],,,
Generator,Generic IoT,['kohler'],,,
Universal Remote Controller,Home Automation,['broadlink'],,,
Infrared Hub,Home Automation,['broadlink'],,,
Infrared Controller,Home Automation,['broadlink'],,,
Infrared Blaster,Home Automation,['broadlink'],,,
Smart Bed,Home Appliance ,['number'],,,
Temperature Sensor,Home Automation,['sensi' 'crosse'],Change crosse to La Crosse,,
Espressif is a type of Wi-Fi enabled microcontroller,Other,['orbit'],,,
Network Scanner,Router,['fing'],,,
Network Intrusion Detection System (N,Router,['fing'],,,
Fan,Home Appliance ,['dyson' 'fans'],,,
Smart Fan,Home Appliance ,['dyson'],,,
Air Purifier/Air Conditioner,Home Appliance ,['dyson'],,,
Sump Pump Monitor,Home Automation,['pumpspy'],,,
Virtual Reality Headset,Wearable,['facebook' 'oculus'],,,
Security System Gateway,Home Automation,['simplisafe'],,,
Kitchen Appliance,Home Appliance ,['chefsteps'],,,
Smart Kitchen Appliance,Home Appliance ,['chefsteps'],,,
Digital Photo Frame,Generic IoT,['nixplay' 'pixstar'],,,
Digital Picture Frame,Generic IoT,['nixplay'],,,
Touchscreen Panel,Home Automation,['control4'],,,
Smart Pod,Router,['plume'],,,
Sensor Pod,Router,['plume'],,,
VoIP Gateway,Work Appliance,['vonage'],,,
VoIP Endpoint,Work Appliance,['vonage'],,,
Z-Wave Gateway,Home Automation,['telldus'],,,
Power Controller,Home Automation,['snap'],,,
Smart Lighting Device,Home Automation,['tuya'],,,
Humidity Sensor,Home Automation,['tuya'],,,
VoIP DECT Base Station,Work Appliance,['gigaset'],,,
Telephone Controller,Work Appliance,['gigaset'],,,
ADS-B Receiver,Other,['flightaware'],,,
ADSB Receiver,Other,['flightaware'],,,
WiFi Node,Router,['bell'],,,
Smart Pet Device,Generic IoT,['sure'],,,
Security System Panel,Home Automation,['vivint'],,,
Solar Monitor,Home Automation,['sunpower'],,,
Solar Panel,Home Automation,['sunpower'],,,
Heating Device,Home Automation,['oj'],,,
Smart Water Meter,Home Automation,['phyn'],,,
Solar Controller,Home Automation,['sma'],,,
Radio Frequency (RF) Device,Other,['sharkrf'],,,
UPS (Uninterruptible Power,Home Automation,['eaton'],,,
Tea Maker,Home Appliance ,['vorwerk'],,,
Mobile Phone,Mobile Device ,['google' 'lg' 'xiaomi' 'lenovo' 'motorola' 'mai'],,,
Android Device,Mobile Device ,['google' 'sony' 'nvidia' 'qolsys'],discard qolsys,,
Security Camera,Surveillance,"['google' 'xiaomi' 'raspberry-pi' 'trendnet' 'withings' 'foscam' 'reolink'
  'immedia' 'dropcam' 'petcube' 'lorex' 'dahua' 'piper' 'simplisafe' 'kuna'
  'tuya' 'v380' 'hikam' 'jovision' 'canary' 'vivotek']","discard raspberry-pi
",,
WiFi Router,Router,['google' 'apple' 'linksys' 'airties' 'energy'],,,
Smart Thermostat,Home Automation,"['google' 'apple' 'honeywell' 'microsoft' 'netatmo' 'hp' 'withings'
  'meraki' 'nest' 'intel' 'ooma' 'wistron neweb' 'nuheat' 'control4'
  'cloud']","discard hp
discard wistron neweb
discard cloud",,
Door Lock,Home Automation,['google' 'august home' 'august'],,,
Doorbell Camera,Surveillance,['google' 'panasonic' 'texas instruments' 'nest' 'august'],,,
Voice Assistant Hub,Voice Assistant,['google'],,,
WiFi Access Point,Router,['apple' 'ubiquiti' 'snap'],,,
Wireless Access Point,Router,['apple' 'eero' 'linksys'],,,
Virtual Machine,Computer,['apple' 'parallels' 'vmware'],,,
Doorbell,Surveillance,['apple' 'amazon' 'texas instruments'],,,
Plex Media Server,Media/TV,['apple' 'nvidia' 'asus' 'qnap'],,,
Voice Assistant,Voice Assistant,['apple' 'alibaba'],,,
Smart Home Hub,Home Automation,"['apple' 'rachio' 'august home' 'sense' 'nest' 'insteon' 'ring'
  'envisacor' 'dyson' 'overkiz' 'milight']",,,
Speaker,Voice Assistant,['apple' 'amazon'],,,
Music Player,Other,['apple'],,,
Air Quality Monitor,Generic IoT,['apple' 'dyson' 'foobot'],,,
Security Device,Other,['apple' 'dlink'],,,
Thermostat,Home Automation,['apple' 'bosch' 'delta' 'broadlink' 'nuheat' 'eq3' 'chameleon' 'bryant'],,,
TV streaming device,Media/TV,['silicondust'],,,
Media Player,Media/TV,['logitech'],,,
Media Server,Media/TV,['logitech' 'dell' 'qnap'],discard dell,,
Audio Streamer,Media/TV,['logitech'],,,
Network Music Player,Media/TV,['logitech'],,,
Wi-Fi Extender,Router,['tplink' 'eero' 'ring' 'plume'],,,
Smart Outlet,Home Automation,['tplink' 'amazon' 'broadlink' 'currant'],,,
Smart Bulb,Home Automation,['tplink' 'amazon' 'meraki' 'wyze' 'wiz'],,,
WiFi Extender,Router,['tplink'],,,
Network Switch,Router,['tplink' 'cisco' 'ubiquiti' 'snap'],,,
Powerline Adapter,Router,['tplink'],,,
WiFi Repeater,Router,['tplink'],,,
Smart Lighting,Home Automation,['tplink' 'systems' 'tuya' 'fans' 'qubesmarthome'],"discard systems
discard fans",,
Access Point,Router,['tplink' 'solaredge'],,,
Smart Lamp,Home Automation,['tplink'],,,
Smart Light,Home Automation,['tplink' 'wyze' 'ring' 'tuya'],,,
Webcam,Surveillance,['tplink' 'panasonic' 'cisco' 'amcrest' 'jovision'],,,
Smart Lock,Home Automation,['samsung' 'august home' 'august' 'dyson' 'nuki' 'amcrest'],,,
Cellular Phone,Mobile Device ,['samsung' 'huawei' 'vivo'],,,
Robot Vacuum,Home Automation,['samsung' 'lg' 'xiaomi' 'shark' 'eufy'],,,
IoT Sensor,Generic IoT,['samsung' 'dlink' 'fitbit' 'asus' 'ubiquiti' 'nest' 'solaredge' 'intel'],,,
Smart Plug,Home Automation,"['samsung' 'netgear' 'dlink' 'xiaomi' 'leviton' 'itead' 'meraki'
  'texas instruments' 'sense' 'sonoff' 'konke' 'wyze' 'mystrom' 'vesync'
  'eufy']","discard netgear
",,
Security Gateway,Router,['netgear'],,,
Ethernet Switch,Router,['netgear' 'dell' 'ubiquiti' 'fon'],,,
Wi-Fi Access Point,Router,['netgear' 'chamberlain' 'asus' 'eero'],,,
Network Router,Router,['netgear'],,,
Washer,Home Appliance ,['lg' 'miele'],,,
Wearable Device,Wearable,['lg' 'fitbit' 'epson'],,,
Tablet,Mobile Device ,['lg' 'sony' 'asus' 'bq' 'huawei' 'facebook'],,,
Refrigerator,Home Appliance ,['lg'],,,
DLNA Server,Storage,['western digital'],,,
Smart Home Device,Home Automation,"['microsoft' 'synology' 'amazon' 'chamberlain' 'logi' 'panasonic'
  'august home' 'shelly' 'nest' 'konke' 'rainforest' 'ring' 'rach' 'kohler'
  'broadlink' 'orbit' 'pumpspy' 'amcrest' 'sensibo' 'telldus' 'tuya'
  'fujitsu' 'wiz']","discard microsoft
discard synology
discrad rach
",,
Laptop Computer,Computer,['microsoft' 'lenovo'],,,
Smartphone,Mobile Device ,['microsoft' 'xiaomi' 'asus' 'nest' 'vivo'],discard nest,,
Server,Computer,['microsoft' 'panasonic' 'micro' 'gigabyte' 'asrock' 'vmware'],,,
Set-Top Box,Media/TV,['roku' 'arris' 'sky'],,,
Wireless Router,Router,['dlink' 'asus' 'eero'],,,
Sensor,Generic IoT,['dlink'],,,
Motion Sensor,Home Automation,['dlink' 'shelly'],,,
Smart Switch,Home Automation,['dlink' 'shelly' 'sonoff' 'tuya'],discard dlink -> router,,
Network Video Recorder,Media/TV,['dlink'],,,
Homekit,Home Automation,['xiaomi'],,,
Air Purifier,Home Appliance ,['xiaomi' 'dyson'],,,
Cell Phone,Mobile Device ,['xiaomi'],,,
Smart Clock,Generic IoT,['xiaomi'],,,
Smart Home Controller,Home Automation,['neeo' 'broadlink'],,,
Laptop,Computer,['hp' 'sony' 'asus' 'huawei'],,,
Media Streaming Device,Media/TV,['tivo' 'nest' 'caavo'],,,
Media Streamer,Media/TV,['tivo'],,,
Network Storage Device,Storage,['raspberry-pi' 'qnap'],,,
IoT Gateway,Home Automation,['raspberry-pi' 'bosch' 'intel' 'ogemray'],"discard raspberry-pi
discards intel",,
Network Attached Storage (NAS),Computer,['raspberry-pi'],,,
Television,Media/TV,['amazon' 'bang & olufsen' 'irobot'],fix irobot,,
TV,Media/TV,['amazon'],,,
Set-top box,Media/TV,['arris'],,,
Set Top Box,Media/TV,['arris'],,,
Smart TV,Media/TV,['arris' 'olufsen'],,,
TV Tuner and DVR,Media/TV,['arris'],,,
Computer,Computer,['arris' 'asrock' 'intel'],,,
TV Remote,Media/TV,['vizio'],,,
Environmental Sensor,Generic IoT,['ecobee' 'broadlink'],,,
Lighting Device,Home Automation,['lifx'],,,
Smart Hub,Home Automation,['logi' 'smartthings'],,,
Router,Router,"['buffalo' 'eero' 'ubiquiti' 'freebox' 'nest' 'technicolor' 'telus'
  'airties' 'snap' 'vmware' 'samknows' 'verizon' 'zinwell']",,,
Digital Video Recorder (DVR),Media/TV,['cisco'],,,
HTPC (Home Theater Personal Computer),Computer,['asus'],,,
Notebook,Computer,['asus'],,,
Streaming Device,Media/TV,['plex' 'luxshare'],,,
DVR (Digital Video Recorder),Media/TV,['plex'],,,
Desktop Computer,Computer,['plex' 'asustek' 'epson' 'fujitsu'],,,
Desktop PC,Computer,['lenovo'],,,
PC,Computer,['lenovo' 'gigabyte'],,,
IP Camera,Surveillance,['withings' 'hikvision' 'speco' 'v380' 'amc' 'fdt'],,,
Internet Radio,Media/TV,['frontier silicon'],,,
Gaming Console,Game Console,['nintendo'],,,
Game Console,Game Console,['nintendo'],,,
Video Game Console,Game Console,['nintendo'],,,
Network Camera,Surveillance,['ubiquiti' 'axis communications' 'jovision'],,,
Switch,Router,['meraki'],,,
Video Doorbell,Surveillance,['texas instruments' 'nest' 'ring'],,,
Home Automation,Home Automation,['fibar' 'overkiz' 'vmware' 'universal devices' 'homeassistant'],"discard vmware
discard homeassistant?",,
VoIP Phone,Work Appliance,"['ciscolinksys' 'linksys' 'obihai' 'grandstream' 'innomedia' 'vonage'
  'gigaset' 'magicjack' 'siemens']",,,
Network Bridge,Router,['linksys'],,,
VoIP Adapter,Work Appliance,['linksys' 'obihai' 'innomedia' 'vonage'],,,
Smart Speaker,Media/TV,['huawei' 'intel' 'baidu'],discard intel,,
Heater,Generic IoT,['nest'],,,
Security Controller,Generic IoT,['nest' 'envisacor'],,,
Set-top Box,Media/TV,['arcadyan' 'caavo' 'foxtel'],,,
Storage Device,Storage,['qnap'],,,
Smart Light Bulb,Home Automation,['wyze' 'magic' 'eufy'],,,
Lightbulb,Home Automation,['wyze' 'osram' 'tuya'],,,
Power Monitor,Home Automation,['rainforest' 'sunpower'],,,
Motherboard,Computer,['gigabyte' 'asrock'],,,
Security Camera Hub,Home Automation,['immedia'],,,
IoT Hub,Home Automation,['insteon' 'sure'],,,
Home Automation Hub,Home Automation,['insteon' 'overkiz'],,,
Security System,Home Automation,['ring' 'bosch' 'simplisafe' 'qolsys'],,,
Irrigation Controller,Generic IoT,['rach'],,,
Smart Home Gateway,Home Automation,['solaredge'],,,
Smart Lighting Hub,Home Automation,['osram'],,,
Security Hub,Home Automation,['envisacor' 'simplisafe' 'vivint'],,,
Robotic Vacuum Cleaner,Home Automation,['neato'],,,
Vacuum Cleaner,Home Automation,['neato' 'shark'],,,
Remote Control Device,Home Automation,['broadlink'],,,
Home Automation Controller,Home Automation,['broadlink' 'homeseer' 'control4' 'universal devices' 'fibaro'],,,
Smart Light Switch,Home Automation,['meross' 'tuya'],,,
Smart Garage Door Opener,Home Automation,['meross' 'amcrest' 'tuya' 'gogogate'],,,
Garage Door Opener,Home Automation,['meross' 'gogogate'],,,
Weather Station,Home Automation,['bloomsky' 'weather' 'crosse'],,,
Sprinkler Controller,Generic IoT,['orbit' 'rainmachine'],Check category,,
Smart Irrigation Controller,Generic IoT,['orbit'],,,
Dishwasher,Home Appliance ,['general electric'],,,
Oven,Home Appliance ,['general electric'],,,
Smart Home System,Home Appliance ,['homeseer'],,,
Network Monitor,Computer,['fing' 'samknows'],,,
Network Appliance,Router,['fing'],,,
Home Automation Device,Home Automation,['overkiz'],,,
Smart Lighting Controller,Home Automation,['magic'],,,
Smart Display,Other,['facebook' 'chameleon'],,,
Home Automation System,Home Automation,['eq3'],,,
Light Switch,Home Automation,['tuya'],,,
Light Bulb,Home Automation,['tuya' 'wiz'],,,
Air Quality Sensor,Generic IoT,['foobot'],,,
Satellite Receiver,Media/TV,['foxtel'],,,
Smart Appliance,Home Appliance ,['miele'],,,
Lighting Control System,Home Automation,['siemens'],,,
